Statement,Rating
"DTI, nangakong palalakasin ang kampanya laban sa pagbebenta ng ng vape at e-cigarette products",Real
PAGASA: LPA asahan sa mga susunod na araw; Hanging Amihan nagpapaulan sa bansa ,Real
Pagkakaantala sa pag-isyu ng National ID sinisi sa mga kaso ng ‘close matches’,Real
"Tag-init na panahon nagsimula na, inaasahang tatagal hanggang May –PAGASA",Real
"Bilang ng overseas Pinoy na naka-recover sa COVID-19, nasa 10,060 na",Real
"NEDA Chief, tiniyak sa publiko na walang mangyayaring privitization sa mga serbisyo ng UP-PGH",Real
"Mambabatas, pinamamadali ang pagtalakay sa pagsasagawa ng Joint maritime patrols sa WPS",Real
"2 piloto na sakay ng trainer aircraft ng Philippine Air Force, ligtas matapos magkaaberya palapag sa runway sa Batangas",Real
"Court martial vs ex-PSG chief Durante re: Davao model slay, itinakda ngayong linggo",Real
'Pahalik' pwede na uli ngayong Holy Week; tetano ibinabala vs penitensya,Real
NEA humiling ng tatlong linggo upang maresolba ang power crisis sa Occidental Mindoro,Real
Pinas ‘di kakapusin sa bigas – Pangulong Marcos Jr.,Real
"Mga solo parents malapit nang mabigyan ng diskwento at VAT-exemption sa pagbili ng gatas, gamot ng mga bata",Real
"Mag-ama, arestado nang mahulihan ng mahigit P1-M halaga ng shabu umano sa QC",Real
"PH, walang team na ipadadala sa Syria ngunit naghahanda ng mga donasyong ipadadala sa bansa",Real
Search warrants laban sa Kapa valid – Court of Appeals,Real
"Turkey-Syria quake death toll: halos 8k na; 3 Pilipino, nawawala",Real
"Wanted poster ng 6 na suspek sa 'missing sabungero’ sa Manila Arena, inilabas na",Real
"Mga mall, gov't building, nais ng mambabatas na lagyan ng prayer room para sa mga Muslim",Real
Teves muling hinamon ni Remulla na umuwi ng bansa at harapin ang mga akusasyon laban sa kanya,Real
Chinese ambassador 'misquoted' umano sa pahayag tungkol sa OFWs,Real
"2 magkaibigan na nagpanggap na nangangalakal, huli nang maaktuhang nagnanakaw ng tricycle sa QC",Real
"Tinatayang 245 PDLs, nakatakdang palayain ng BuCor",Real
"56 OFWs na nasa death row sa ­Malaysia, may pag-asang masagip",Real
"Tumaya sa lotto mula sa Bulacan, ika-5 naka-jackpot sa loob ng 1 linggo",Real
Pinay teen nilait-lait dahil sa kanyang first ‘luxury bag’: An 80$ bag may not be a luxury but for me and my family it is a lot,Real
"Manny Villar, pinakamayamang Pinoy, batay sa Forbes&rsquo; Billionaires List 2023",Real
"Jollibee, sumuko na nga ba sa McDo?",Real
"LPA posibleng pumasok na sa bansa, nagpapaulan sa Visayas at Mindanao",Real
April 21 idineklarang ‘regular holiday’ bilang pagdiriwang ng Eid’l Fitr,Real
"15,000 doses ng Sputnik V darating na sa bansa sa Mayo 1",Real
Miranda haharapin ang reklamo  sa tamang korte – abogado,Real
"Zebra, nagpatakbo-takbo sa komunidad matapos makawala sa zoo sa South Korea",Real
"Fixers sa labas ng LTO, inalok ang mismong LTO chief na nagpanggap na kukuha ng lisensiya",Real
Rodante Marcoleta nag-withdraw sa pagtakbong senador,Real
"Marcos, pinuri ang paglalagak ng pamumuhunan ng Japanese energy giant sa bansa",Real
KILALANIN: Kauna-unahang visually impaired na abogado sa PH,Real
"Partner welfare home, binisita ng PCSO chair",Real
"LGUs, magkakaroon ng awtonomiya sakaling maipatupad na ang full devolution",Real
Korte ipinaaaresto si Bantag sa pagkamatay ng 'middleman' sa Lapid murder,Real
"Mambabatas, hiniling ang urgent review ng lahat ng labor agreements ng Pilipinas",Real
"Super powers, hindi na kailangan ni Pangulong Bongbong Marcos dahil kaya na umano nitong magdekalara ng emergency at kontrolin ang presyuhan ng mga bilihin",Real
2 patay sa magkasunod na ‘hit-and-run’ incident,Real
Klase sa ilang lugar sa bansa suspendido pa rin dahil sa sama ng panahon,Real
Isang gabing curfew at ang kwentong lumugaw sa utak ng mga Pilipino,Real
"3,000 sundalo mula sa Philippine, US Army nakikibahagi ngayon sa taunang Salaknib Exercise",Real
"'Amang' naging LPA na lang, pauulanin Metro Manila",Real
House panel inendorso sa plenaryo ang panukalang magpo-protekta sa publiko laban sa mga scammer,Real
LPA nakapasok na sa loob ng PAR,Real
"Ilang Senador, kinuwestyon kung bakit ipinipilit na China ang ka-deal ng Pilipinas sa WPS exploration",Real
"Dating PBA player na si Boybits Victoria, pumanaw na",Real
Bongbong Marcos idineklara na bilang ika-17 pangulo ng Pilipinas,Real
"Tolentino, nanawagan sa DFA na maging maingat sa bagong exploratory talks sa China",Real
Top 2 passers ng 2022 bar exams magkasama sa law firm,Real
Ka Leody sa pagkakaaresto ng ka-tandem noong eleksyon: Palayain si Walden Bello!,Real
Miyembro ng Abu Sayyaf Group natimbog ng NBI sa Quezon City,Real
"Listahan ng 10K OFWs para sa Saudi Gov’t claim, isusumite ng DMW bago ang May 1",Real
"Brownlee, nagpakawala ng 41 puntos; pero Gilas, kinapos vs Jordan",Real
PMGen. Benjamin Acorda Jr. bagong PNP Chief,Real
"Imbestigasyon sa Degamo slay case, nagiging perya na – Teves",Real
"1 sa mga suspek sa pagpatay kay Gov. Degamo, nagtrabaho dati sa isang kongresista at sinibak dahil sa droga",Real
NFA 'di mag-aangkat ng bigas para sa buffer stock: DA,Real
"#NamamaskoPo: QC, Manila, Makati namigay na rin ng Christmas food packs",Real
6 Pinoy nakatakas sa sindikato ng love scam,Real
Umano'y gunman sa Lapid case nakatakdang ilipat sa Crame,Real
"Remulla tiwalang maaaresto sina Bantag, mga dawit sa Lapid case",Real
Mahigit 64k na mga pasahero dinagsa ang mga pantalan ngayong Biyernes Santo –PCG,Real
Pinsala ng Mindoro oil spill posibleng pumalo ng P1 bilyon,Real
"Pangulong Marcos, ideneklara ang Feb. 24 bilang special non-working day",Real
Mas maraming Pinoy ready nang mamasyal ulit ngayong summer –survey,Real
Tolentino iginiit na panagutin ang may ari ng oil tanker na nagdulot ng oil spill sa Mindoro,Real
BIR offices 'di dinagsa sa huling araw ng ITR filing,Real
"Gender equality sa trabaho , ibinida ng CSC sa pagtatapos ng National Women’s Month",Real
"5 ‘isnaberong’ taxi driver inaresto ng LTO, iba pang tsuper binalaan",Real
"Trabaho, oportunidad sa bagong TNVS slots",Real
Babala ni Gen. Eleazar kay Jake: Titiyakin kong mananagot ka sa pambabastos mo sa batas…,Real
2 Pinoy patay sa 7.8 magnitude na lindol sa Turkey,Real
"Resolusyong nagsusulong ng pagbuo ng con-con, pasado na sa Kamara",Real
Paghahanap sa nawawalang Cessna plane sa Isabela inihinto muna,Real
Ilang transport groups hindi makikiisa sa isang linggong transport strike,Real
"Bantag, iba pang akusado sa Percy Lapid case maituturing na 'fugitives': PNP",Real
"Special Task force, binuo na ng DOJ para imbestigahan ang nasa 20 kaso ng pagpatay sa Negros Oriental",Real
Paolo Contis inaming may mga nagawang pagkakamali kay LJ Reyes: ‘Pero marami pang hindi alam ang tao’,Real
#LongWeekendAnnouncement: Mga dapat malaman ngayong Undas 2022,Real
"Medical corps ng AFP, PNP ipinahahanda para sa deployment dahil sa pagdami ng health workers na tinamaan ng COVID-19",Real
"DA, naglaan ng mahigit P177M para pigilan ang bird flu",Real
"Lalaki, inireklamo ng kanyang 3 stepdaughters dahil sa umano'y pangmomolestiya",Real
"Isang programa, inilunsad ng LTO upang mas mabilis na makapagreklamo ang publiko sa serbisyo ng ahensiya",Real
Taripa sa ilang imported na produkto ibababa,Real
Palawan bumandera bilang ‘Most Desirable Island’ sa isang UK magazine,Real
"Na-detect na Omicron subvariant XBB.1.5, hindi magpapataas sa mga kaso ng COVID-19 – Solante",Real
"Pagbabalik ng bakasyon ng mga estudyante sa buwan ng Abril hanggang Mayo, hirit ng isang Senador",Real
NWorld buking sa illegal ‘investment scheme’ ng beauty and skin care products,Real
Taguig may ‘libreng sakay’ kasabay ng transport strike sa March 6-12,Real
Pilipinas itinanghal na world’s leading beach at dive destinations,Real
"Lalaki, inaresto matapos umanong saktan at tutukan ng baril ang live-in partner, anak sa QC",Real
Negros Island bill pasado na sa 2nd reading sa Kamara,Real
"Malacañang may pa-concert kada 3 buwan, ang unang pagtatanghal ‘dedicated’ sa AFP",Real
"Clarita Carlos binatikos matapos magkomento sa Bar exam passers: We need more scientists, engineers, doctors, not more lawyers!",Real
"Habambuhay na pagkakulong, P5M multa para sa mga bank hackers–Defensor",Real
TokTok kinilalang 2022 Transport App of the Year sa VP Choice Awards,Real
"7 freelance models, nasagip matapos ipain sa sex trafficking; babaeng bugaw umano, arestado",Real
"Bagyong Rosal lalo pang lumakas, pero wala namang epekto sa bansa",Real
"Oil spill sa Oriental Mindoro patuloy na kumakalat, 24k ektarya ng coral reef ‘nanganganib’",Real
"Senate panel, sisimulan na probe sa human smuggling sa NAIA gamit ang private plane",Real
Abril 21 idineklarang regular holiday para sa Ramadan,Real
"Top earners ng House of Franchise, JC franchises pinarangalan sa ‘Gathering of the Stars’",Real
"Lalaki, arestado sa kasong pagnanakaw; kasintahan, huli rin dahil sa droga at 'pambubugaw'",Real
Pamilya Marcos magiging ‘simple’ lang daw ang mga aktibidad para sa Semana Santa,Real
Ex-partylist solon inaresto,Real
Prince Chales taus-puso ang pasasalamat sa Pinoy health care workers sa UK,Real
MT Princess natuklasang isang scrap ship at dalawang beses na ginawa upang maging isang tanker,Real
Bridgerton spin-off 'Queen Charlotte' mapapanood sa Mayo,Real
DOH nagpaalala sa posibleng epekto ng El Niño sa kalusugan,Real
"Pantalon na nagiging airbag, dagdag-proteksyon sa riders kung sakaling sumemplang sa kalsada",Real
Brunei patuloy ang suporta sa ‘peace process’ sa Mindanao ,Real
"State prosecutors, tinapos na ang preliminary investigation sa murder complaints na isinampa laban kay Bantag",Real
"SIM registration, ‘di inaasahang 100% - NTC",Real
Isko Moreno umaasang susuportahan ni Duterte matapos umatras si Go,Real
"Umano'y gunman sa pagpatay kay Percy Lapid, humingi ng tawad",Real
"P9,000 hazard pay para sa healthcare workers, ihinihirit",Real
PH nakatakdang magbigay ng humigit-kumulang PHP11 milyon financial aid sa Syria,Real
2 PNP generals at 8 iba pa pinapag-leave of absence ng DILG dahil sa massive cover-up sa drug case ni Police Msgt. Mayo,Real
PNP chief handang ipaliwanag ang ‘cover up’ sa Senado,Real
"PAGASA nagbabala sa malakas na epekto ng hanging amihan, LPA inaasahang malulusaw",Real
"Pagtugis sa shooting suspects sa Antipolo, nauwi sa drug bust",Real
"Japanese Embassy, pinasalamatan si Remulla sa deportation ng apat na Japanese fugitives",Real
"Speaker Romualdez: Rep. Teves, ayaw umuwi dahil nangangamba sa kaligtasan",Real
"Robin Padilla nabwisit sa ‘barumbadong’ opisyal ng DFA: Senador ako, respetuhin mo ‘ko",Real
"Paghahain ng COC para sa BSKE, inilipat ng Comelec sa buwan ng Agosto mula Hulyo",Real
"2 talunan sa bilyar, namaril sa bilyaran sa Brazil; 6, patay",Real
"145 estudyante naospital, nahilo sa matinding init",Real
"DOTr nais magtaas ng pasahe sa MRT at LRT, ilang grupo pumapalag: ‘Dapat makiramdam naman ang ahensya…’",Real
"Lalaki binaligtad ang watawat ng Pilipinas sa NAIA, inaresto",Real
Paalala ng Immigration sa lahat ng biyahero: Ihanda na ang lahat na kailangang dokumento,Real
Mambabatas nanawagan sa mabilis na aksyon ng gobyerno sa mga kaso ng 83 Pinoy na nasa death row,Real
Public schools sa Metro Manila balik face-to-face classes; wala nang ‘Libreng Sakay’,Real
"Cancer survivor, nanalo ng P50 milyon sa lotto",Real
DOH hinimok na palakasin ang pagtugon sa mga sakit na posibleng makuha sa mainit na panahon,Real
"Registered voters para sa BSKE , mahigit 2M hanggang Jan 28 – Comelec",Real
Pagpapalawak ng E-travel system umarangkada na,Real
"3 kilo ng hinihinalang cocaine na pinagmukhang sabon, nasabat sa NAIA",Real
"P20M bayad sa isang tribung maaapektuhan ng konstruksyon ng Kaliwa Dam, pinaiimbistigahan",Real
"Big-time oil price hike, lalarga sa Martes",Real
Bagong omicron subvariant na XBB.1.16 binabantayan,Real
"30 araw na fully paid paternity leave kahit hindi kasal, isinusulong sa House",Real
33 sugatan sa pagtaob ng cargo van sa Quezon,Real
"Defensor, Castelo naghain ng P17B recovery roadmap para sa Quezon City",Real
DILG: May gustong mag-cover-up sa imbestigasyon ng P6.7-B nasabat na shabu,Real
"5-man panel ng DILG, kumpleto na",Real
"Natenggang dagdag sa generation charge, ipapasa sa mga konsumer",Real
"PH may sapat na pondo para masakop ang pagpapauwe ng 150,000 OFWs sa Taiwan",Real
6 ahensya pumabor sa TOP-CRMS vs mataas na logistics cost – PPA,Real
Envi group nagbabala na posibleng maramdaman ng ilang dekada ang pinsalang dulot ng oil spill sa Mindoro,Real
"DepEd: Bawal maging ‘friends’ ang guro, estudyante sa labas ng klase",Real
"Rendon Labador ipinagtanggol si Vice: ‘Kayong mga tao ‘di porket bumili kayo ng ticket sa isang show, eh, parang nabili n’yo na ang mga artist’",Real
Marcos pinangunahan ang pagpapasinaya sa mga proyektong pabahay,Real
"Cebu Pacific nag-sorry kay VP Leni, piloto inaming walang basehan ang viral post",Real
‘Magparehistro na ng SIM cards’ - DICT,Real
"Bongbong, Sara nangunguna sa bilangan; Robin No. 1 sa labanan ng mga senador",Real
"Party-list system, gustong 'gibain' ni Padilla kapag natuloy ang Cha-cha",Real
OCTA: COVID-19 cases per week sa Metro Manila tumaas ng 56%,Real
Eid'l Fitr isasagawa sa Abril 22,Real
"Kaso ng dengue sa bansa, tumaas ng  69% mula January 1 hanggang 28 ayon sa DOH",Real
DOT: nakakuha ang Pilipinas ng dalawang nominasyon sa 2023 World Travel Awards,Real
"Ambulansya at SUV, nagkabanggaan sa Maynila",Real
"Lalaki, inireklamo ng sextortion ng kaniyang nobya; suspek, iginiit na naniningil lang ng utang",Real
PNP tinukoy na ang 5 suspek sa isa pang hazing incident na ikinasawi ng isang estudyante ng University of Cebu,Real
"BI, idinepensa ang mahabang interview sa mga bibiyahe na minsan ay dahilan para maiwan ng eroplano",Real
"PBBM, inihayag na maganda ang takbo ng ekonomiya ng bansa at nakabangon na mula sa pandemya",Real
"Voter registration, paglabas ng Voter’s Certificate balik na sa NCR plus simula sa May 17",Real
"Babaeng wanted dahil umano sa panloloko, nabisto dahil sa talbog na tseke",Real
63 manok tigok matapos atakehin sa puso dahil sa maingay na banda,Real
WATCH: 14 milyong katao nabakunahan na laban sa Covid-19,Real
"Apollo Quiboloy ‘wanted’ sa FBI, dalawa pang miyembro pinaghahahanap rin",Real
"PAGASA: Asahan ang malamig, maulang Pasko; Ilang domestic flights kanselado",Real
Marcos nakakuha ng ‘very good’ net satisfaction rating sa pinakabagong SWS survey,Real
"Person of interest sa Salilig hazing case, natagpuang patay",Real
Kailangan ng puhunan at pantawid sa gastos? Mas pinadali at pinagaan ang paghiram ng pera sa GCash,Real
Dito Telecom walang pakinabang sa maraming Pilipino – ICT advocacy group,Real
Coast Guard – nagpasaklolo sa US para ma-contain ang oil spill sa Oriental Mindoro,Real
"DepEd, nangako ng mas magandang mental health program at seguridad sa mga paaralan",Real
"3 patay, 4 sugatan sa pamamaril sa Caloocan City",Real
Mga nahatulang Pinoy sa mga Muslim-majority countries dapat i-apela ngayong Ramadan- Solon,Real
12 lugar Signal no. 1 sa pagbilis ni 'Amang' patungong Catanduanes,Real
"Mananaya, nanalo ng mahigit P50-M jackpot sa Lotto 6/42",Real
Senador Bato pinaiimbestigahan na sa Senado ang umano’y pagbibigay ng drug reward sa mga informants,Real
"Tricycle driver, dead on the spot matapos barilin sa Tondo",Real
"Philippines-China oil, gas exploration talks kasado sa Mayo",Real
Suspensiyon ng taripa sa electic vehicles palawigin pa — sociologist,Real
WHO magpupulong para tukuyin kung emergency pa ang COVID-19,Real
"Gina Pareño umaming miyembro rin ng LGBTQ: Oo, bakit? May problema?",Real
Carrots galing China mas mabenta sa mga mamimili,Real
Listahan ng mga bansang may positibong kaso ng Omicron,Real
"France,Germany, handang makipagtulungan sa Pilipinas para mapahusay ang maritime security",Real
"Magkasintahan nahulihan ng P680,000 halaga ng shabu umano sa Maynila",Real
"Bilang naman ng mga Pilipinong walang trabaho, nadagdagan pa",Real
"Negros Oriental Rep. Teves, humirit ng 2-month leave sa Kamara",Real
"Retoke paluwagan, sinasalihan ng ilang tao para sa kanilang pagpapaganda",Real
"Ex-mayor ng Lamitan, Basilan, 2 pa patay sa pamamaril sa Ateneo campus, 1 estudyante sugatan; PBBM ‘shocked’",Real
Manny Villar 'no. 1 richest Pinoy' pa rin sa 2023 Forbes billionaire list,Real
"Pagtawag sa kanya ng ‘bitch’ ni Duterte, panglihis sa tunay na isyu, sabi ni De Lima",Real
"PUJ drivers, bumaba ang daily take-home income sa P300 ayon sa grupong PISTON",Real
Bato sa bagong autopsy kay Kian – ‘Bitayin niyo na lang ako’,Real
"Wil Dasovich, wagi sa international vlog fest",Real
Bangkay ng nawawalang Ati chieftain natagpuan sa Boracay,Real
"20 kabahayan sa Barangay Kalawaan sa Pasig, nasunog",Real
"5 Japanese nationals, nasagip ng Coast Guard sa tumaob na fishing vessel sa Oriental Mindoro",Real
"Pagdiriwang ng Earth Day idinaan sa pamamasyal, protesta",Real
Ilang LGUs at paaralan nagsuspinde ng in-person classes kasunod ng tigil-pasadang ikinasa ng mga transport group simula sa Lunes,Real
"‘Single mom’ na nag-viral matapos magnakaw ng handa para sa anak, walang katotohanan?",Real
"DSWD, nagbabala sa publiko laban sa scam kaugnay sa ‘unclaimed’ senior relief allowance",Real
"Pag-amyenda sa RA 11709, na naglilimita sa three-year fixed term sa  AFP, niratipikahan na ng Senado",Real
Kailan dapat magpaturok ng ika-2 COVID-19 booster?,Real
"Dating PNP chief Debold Sinas, itinalagang undersecretary ng Office of the President",Real
Foreman na nangingikil umano sinaksak sa Mandaluyong,Real
"2 lalaki sa QC, arestado sa panloloko gamit ang eWallet",Real
"Lalaking nakainom at nakatulog sa labas ng compound, patay sa pamamaril sa Caloocan",Real
"2 patay kay ‘Maymay’; 2 LPA, 1 pang bagyo binabantayan ng PAGASA",Real
"Northern Samar, Davao Occidental niyanig ng 4.6 magnitude na lindol",Real
‘Vaccine optimism’ nag-ambag sa ‘case surge’ sa bansa–WHO,Real
S​oKor magpapadala na rin ng team sa PH para sa oil spill clean up​,Real
"Presyo ng isda at itlog, mananatiling mataas ang presyo ngayong taon- Salceda",Real
Tangkang pangho-hostage kay Leila de Lima sa Camp Crame parang eksena sa pelikula; 3 nag-amok na suspek patay,Real
Occidental Mindoro inilagay sa state of calamity,Real
"Lalaking suspek sa panggagahasa sa pinsan, huli sa Las Pi&ntilde;as City",Real
Sekyu na nasawi sa Ateneo campus shooting tunay na bayani: ‘He deserves to be named and recognized’,Real
"Lalaking naputulan ng binti, 'di sumuko at nagtagumpay sa pagtitinda ng lugaw",Real
"Breakup leave, kasama sa benepisyo ng mga empleyado ng isang hotel sa Cebu",Real
Pangakong P20.00 na kada kilo ng bigas malapit na ayon kay Pres. Marcos Jr sa launching ng KADIWA ng Pangulo sa Camarines Sur,Real
"Divorce bills, aprubado na ‘in principle’ sa House panel",Real
"Dagdag na P1K social pension sa mahihirap na seniors, may pondo",Real
San Juan City Mayor Zamora bagong Metro Manila Council president,Real
Presyo ng tiket sa eroplano posibleng bumaba sa Mayo,Real
"12-anyos na babae sa Germany, natagpuang patay at may mga saksak; suspek, 2 batang babae rin",Real
"Arnie Teves, nanindigan na layunin ng raid sa kanyang bahay na patayin siya",Real
GMA Network umalma sa ‘biased’ remark ng kampo ni Marcos laban kay Jessica Soho,Real
Prepaid SIM card registration panlaban sa krimen – Sen. Bato,Real
BSP Deputy Governor Puyat pinangunahan ang launching ng kauna-unahang Paleng-QR PH Plus sa South Luzon,Real
"Seafarer na na-offload at sinubukan umanong kikilan ng taga-BI, dumulog sa NBI",Real
"P140K halaga ng umano'y shabu, nasabat sa Navotas; 2 suspek, arestado",Real
"PBBM, First Lady present sa coronation ni King Charles III sa London",Real
Deadline extension ng estate tax amnesty itinutulak sa Kamara,Real
"Barangay Kagawad sa Maynila, patay matapos barilin ng sundalong AWOL",Real
"Palasyo, pinabulaanang nag-resign sa puwesto si Executive Secretary Bersamin",Real
"DOJ, nais muling buksan ang trial kaugnay sa naisumiteng drug case vs De Lima",Real
"SIM card registration aarangkada na sa Dec. 27, NTC may mga paalala sa publiko",Real
DFA: huwag gamitin ang tourist visas para magtrabaho sa Southeast Asian,Real
"Police official na tinakbuhan umano ang nabanggang tricycle driver na namatay kalaunan, pinasisibak sa serbisyo",Real
2 pulis na hinihinalang magkabit arestado sa Bohol,Real
9 na LGUs sa Bicol binigyan ng ‘Seal of Good Local Governance’ award ng DILG,Real
3 tiklo sa iligal na pagbebenta ng SIM cards,Real
"PSA: bumaba ang naitalang births at deaths; bilang ng mga nag-asawa, tumaas",Real
"High value target sa Quiapo, arestado matapos mahulihan ng higit P12 milyong halaga ng shabu",Real
"Paglalagay sa Negros Oriental sa military control, inilutang",Real
"Go, umaasang magiging patas at uncompromising ang binuong 5-man advisory group na susuri sa courtesy resignation ng mga top-level police officers",Real
"DOH, tiniyak sa publiko na ipinatutupad nang may transparency ang mga programa sa mga cancer patients na nangangailangan ng tulong",Real
"PNP sa publiko: ‘ATM’ post sa social media, iwasan",Real
Senator Bato pagod nang sagutin ang mga isyu tungkol sa ICC,Real
"Solon, iminungkahi ang malalimang probe re: ‘cover-up’ ng PNP sa Tondo drug raid",Real
"Suspek sa pagpatay sa pedicab driver sa Balut, Tondo, nadakip; serial killer, 'di totoo -- Lacuna",Real
"PAGASA: Walang bagyo sa mga susunod na araw, LPA at amihan magpapaulan sa bansa",Real
Comelec magsasagawa ng pilot test sa automated poll system sa tatlong bgy sa QC at Cavite para sa BSKE,Real
"Solon, tinawag ang pansin ng DOTR kaugnay sa ulat ng mga abusado at choosy na motorcycle taxi riders",Real
"Babaeng nambugbog sa traffic enforcer sa Maynila, sangkot sa ilegal na droga",Real
"'Kahit mahirap buhay': 83% ng Pinoy gusto manatili sa Pilipinas, sabi ng SWS",Real
6.6 magnitude na lindol yumanig sa Luzon,Real
Pagpapatupad ng price cap sa driving schools tuloy na tuloy na sa April 15 –LTO,Real
Inflation nitong Enero – sumipa pa sa mas mabilis na 8.7%,Real
"Gunrunner umano, patay matapos makipagbarilan sa mga awtoridad sa Antipolo",Real
"Teves, ‘pinaka-utak’ sa Degamo slay - DOJ",Real
PCSO Chair Cua tumanggap ng Red Cross Service Award,Real
Mas maraming Pinoy aprub sa ‘Sim Card Registration Act’ – SWS,Real
‘Ramadan’ nag-umpisa na ngayong March 23,Real
"Ilang senador, pinatitiyak na mapo-protektahan ang mga estudyante dapat protektahan mula sa ‘no permit, no exam’ policy",Real
MTRCB inamin na hindi kayang isama sa kanilang mandato ang pagkontrol sa video at online games,Real
"Inagurasyon ng LRT-2 East Extension, ini-reschedule sa June 23",Real
Seguridad sa pag host ng Camarines Sur sa coronation night ng Face of Beauty International plantsado; augmentation force nakalatag,Real
I can work with anybody… dilaw o pula dahil moreno naman ang kulay ng Filipino – Isko,Real
MMDA sinuspinde ang pagpapatupad ng expanded number coding scheme sa Metro Manila bukas dahil sa transport strike,Real
77% ng mga Pilipino mas nakikisalamuha online kaysa sa totoong buhay,Real
"Bagyong Amang, isa nang LPA",Real
Comelec halos kumpleto na ang paghahanda sa Barangay at SK Election,Real
"Nadiskaril na tren ng PNR, naibalik na sa riles",Real
Norberto Gonzales walang intensyong paatrasin sa laban si VP Leni; Yorme baka ‘na-carried away’ lang daw,Real
"'Jumper' boy na puntiryang nakawan ang mga truck sa Maynila, dinakma ng nakasibilyang pulis",Real
Meralco posibleng may dagdag-singil sa kuryente ngayong Marso ,Real
1 tao kada araw namamatay sa NCR road crash: MMDA,Real
"Sanggol na ibinenta ng inang nabaon sa utang, nasagip ng NBI",Real
"Francine, Seth, nagbigayan ng 'award' sa isa't isa",Real
"Beijing, umaasang magkakaroon ng hiwalay na direct communication line sa pagitan ng defense establishments ng Pilipinas",Real
"Metro Manila, 4 na probinsya isasailalim sa ECQ",Real
"Matandang lalaking nakipagtalo sa driver, nagulungan ng bus sa Brazil",Real
"Go, suportado ang pagpapanatili ng suspensyon ng pagtaas ng Philhealth contribution",Real
Sen. Marcos itinangging siya ang dahilan ng pagkaantala sa pag-apruba ng RCEP,Real
Mga namamalimos na Badjao sa Metro Manila binigyan ng P10K ng DSWD,Real
"Health workers nagprotesta, nanawagang taasan ng P33,000 ang basic pay",Real
"Intel chief ng Calbayog City, sinibak sa puwesto",Real
Wikang Tagalog ituturo na sa Harvard,Real
"Holdaper, arestado matapos maalala ng biktima ang ngiti ng suspek",Real
"Arrest warrant vs. Bantag, Zulueta inilabas ng Las Pinas court",Real
"Bumaril at nakapatay sa turista na mula sa New Zealand, tukoy na",Real
"Hindi paggamit ng face shield sa labas ng bahay, aprubado na",Real
"Senador, muling iginiit ang pagrepaso sa labor agreement sa Kuwait",Real
Unemployment insurance isusulong ni Jinggoy,Real
"WATCH: Para sa mga kapatid ni Noynoy, ‘mission accomplished’ na ang dating pangulo",Real
Pastor Quiboloy sinampahan ng kasong sex trafficking sa Amerika,Real
"HIV cases sa Negros Occidental talamak na, mga awtoridad naaalarma",Real
"Napolcom probe sa P6.7 bilyong shabu ‘cover-up’, aprub sa PNP",Real
"Senador, tinawag na puting unggoy ang mga tauhan ng ICC sa planong ituloy ang imbestigasyon sa drug war ni ex-Pres. Duterte",Real
"Mayor Degamo, inalmahan ng NPC",Real
DENR ipinagmalaki sa UN na nananatiling proactive ang gobyerno ng Pilipinas sa pagresolba sa problema sa tubig,Real
"Mga aktibidad sa Semana Santa sa Maynila, suspendido",Real
"80 anyos na inaresto ng pulis matapos akusahang nagnakaw ng mangga, nakalaya na",Real
"DILG, suportado ang e-Sumbong system ng PNP",Real
Singil ng buwis sa QC hindi magtataas,Real
"Retrieval sa bumagsak na Cessna plane sa Isabela, nananatiling pahirapan",Real
Pinoy war veterans kinilala ni PBBM sa ika-81 anibersaryo ng Araw ng Kagitingan,Real
Metro Manila LGUs hinikayat na isara ang mga sementeryo sa Undas,Real
"WATCH: Dating Pangulong Duterte, hinimok ang taumbayan na suportahan si Pres. Marcos",Real
"Luxury car, nadaganan ng puno sa Pasay City",Real
Senate panel hihilingin kay Marcos ang pagtatalaga ng oil spill response chief,Real
You May Missed,Real
Anim na aftershocks naitala matapos ang magnitude 6.2 na lindol sa Catanduanes,Real
"3K ‘high level’ cyberattacks, naitala sa Pinas",Real
Biyuda ni Degamo dismayado kay Sen. ‘Bato’,Real
‘Ang Malasakit Center ay para sa bawat Pilipino’ - Bong Go,Real
Oil spill umabot na sa 2 bayan sa Oriental Mindoro,Real
"Higit 30 gumagamit ng GCash, nasimot umano ang pera; GCash,  nakikipagtungan daw sa mga awtoridad",Real
"Bagyong Neneng tumama sa Cagayan, signal no. 3 itinaas na",Real
"Petisyon laban sa ekstensyong hiling ni Bongbong Marcos sa kasong diskwalipikasyon, ibinasura ng Comelec",Real
EJ Obiena target makakuha ng ginto sa 2023 SEA Games,Real
"WATCH: Arjo Atayde, lamang ng 74.9 porsiyento sa QC District 1 congressional race",Real
"Lalaki, inabangan at binuntutan bago barilin sa QC",Real
PANOORIN: Temperatura at 'heat index' anong pinag-iba?,Real
Mga batikang artista bahagi ng 'Ang Larawan',Real
"Panukalang pagbura sa utang ng mga magsasaka, pirma na lang ng Pangulo ang kulang",Real
"SWS: 7% Pinoy household, may kaanak na OFW",Real
"Pagkamatay ng tatlong Lumad sa Surigao del Sur, iniimbestigahan ng CHR",Real
Soberenya ng Pinas ‘di makokompromiso sa dagdag na 4 EDCA sites – DND,Real
"Shipping industry stakeholders, tinutulan ang mga probisyon sa panukalang Magna Carta for Filipino Seafarers",Real
