Article_Headline,Statement_Filipino,Statement_English,Rating,Statement_Filipino_Language,Statement_English_Language
vera files fact check: sara duterte has not abolished k to 12,“GOODNEWS! MATlNDlNG UTOS DEPED K 12 ni PNOY BUBUWAGIN PIRMADO NA !”,SEVERE ORDER PNOY’S DEPED K 12 WILL BE ABOLISHED ALREADY SIGNED,Fake,TAGALOG,ENGLISH
vera files fact check: marcos claim on ‘slowing’ inflation rate needs context,,"“Yeah, well at least 8.1 nag-increase lang ng  0.1 [%] and the rate of increase is slowing.”
Source: Office of the Press Secretary, Official transcript of President Ferdinand R. Marcos Jr. at the Kapihan with the Media , Jan. 5, 2023",Fake,ENGLISH,ENGLISH
vera files fact check: bsp did not issue p500 marcos sr. banknote,“OMG! BAGONG PERA NG PILIPINAS INILABAS NA ! NEW PHILIPPINE BANK NOTES AND COINS.”,NEW BANKNOTES OF THE PHILIPPINES NOW RELEASED,Fake,TAGALOG,ENGLISH
vera files fact check: no data supporting omicron xbb variant is ‘5x’ deadlier than delta,,"“XBB is 5 times more toxic than Delta variant and has a higher mortality rate. It takes a shorter time for the condition to reach extreme severity, and sometimes there are no obvious symptoms.”",Real,None,ENGLISH
"vera files fact check: cnn philippines, doh disown fake exposé on ‘hidden hypertension cure’",“Iskandalo sa studio! Itinago nila ang pangunahing lunas para sa presyon mula sa mga pasyenteng hypertensive! Sila pala …”,Scandal in the studio! They concealed the primary cure for hypertension from hypertensive patients! They are,Fake,TAGALOG,ENGLISH
vera files fact check: sandro marcos did not call filipinos ‘entitled’ over flight delays,,"WARNING!

SMNI strongly disowns this fake quote card circulating in social media. We assure the public that SMNI will only deliver ‘Truth That Matters’. pic.twitter.com/kvW4BrOaKS
— SMNI News  January 8, 2023",Fake,ENGLISH,ENGLISH
vera files fact check: neypro 1 gold is not approved by fda,"“Kidney stones, kidney failure, physiological weakness, nocturia, masakit na pag-ihi, insomnia, pananakit ng likod, pamamaga ng mga kamay at paa agad gumamit ng Neypro 1 Gold .”","painful urination, insomnia, back pain, swelling of the hand and foot, immediately use Neypro 1 Gold",Fake,TAGALOG,ENGLISH
vera files fact check: another fake ad uses doc willie ong’s name to promote weight loss cereal,,"“Research on thousands of people who have successfully regained their shape, lσst mαny k.g in a short time and improved their health effects after eating MEIZOU Chia seeds. The product has been approved by the FྂDA  as safe and good for health.”",Fake,ENGLISH,ENGLISH
vera files fact check: hontiveros not involved in 2014 philhealth bonus mess,“JUST IN: KORTE MAY ORDER NA KAY RISA NA DAPAT IBALIK ANG PERANG NINAKAW NILA MULA SA PHILHEALTH! ”,Court orders Risa to return money stolen from PhilHealth!,Fake,TAGALOG,ENGLISH
vera files fact check: false ‘naia reverting to mia’ claim resurfaces,"“KAKAPASOK LANG TAGUMPAY! BIGLAANG UTOS! PRES MARCOS NAIA PAPALITAN NA SAWAKAS! DlLAWAN NGA-NGA NA!
”",JUST IN SUCCESS! SUDDEN ORDER! PRES MARCOS NAIA WILL BE RENAMED FINALLY! YELLOWS SPEECHLESS!,Fake,TAGALOG,ENGLISH
vera files fact check yearender: a relentless stream of red-tagging in 2022,,"“…the act of labelling, branding, naming and accusing individuals and/ or organizations of being left-leaning, subversives, communists or terrorists  a strategy…by State agents, particularly law enforcement agencies and the military, against those perceived to be threats or enemies of the state.”
Source: International Peace Observers Network , Red-Baiting: Civil Society under general suspicion, Nov. 2, 2011",Real,ENGLISH,ENGLISH
"vera files fact check: another death hoax claims kris aquino collapsed, died during jovit baldivino’s wake",“KRIS AQUINO NAG COLLAPSE SA LAMAY NI JOVIT BALDIVINO! PUMANAW NA ! ACTUAL FULL VIDEO NAKUHA SA LAMAY ! Thank  For Watching.”,KRIS AQUINO COLLAPSED DURING JOVIT BALDIVINO’S WAKE! [SHE] HAS PASSED AWAY,Fake,TAGALOG,ENGLISH
vera files fact check: video falsely claims marcos jr. went to belgium to withdraw father’s $987 billion from a bank,“CONFIRM! PBBM PUPUNTA NG BELGIUM PARA MAKUHA ANG $987 BILYON NA YAMAN NI FEM PARA SA MGA PILIPINO !”,PBBM WILL GO TO BELGIUM TO GET FEM’s $987 BILLION WEALTH FOR THE FILIPINOS,Fake,TAGALOG,ENGLISH
vera files: video falsely claims marcoleta will replace carlos as national security adviser,“MARCOLETA IPAPALIT KAY CLARITA CARLOS! CLARITA SIKRETONG MAKIKIPAG KITA KAY JOMA! BUKING NI PBBM !”,MARCOLETA TO REPLACE CLARITA CARLOS! CLARITA TO SECRETLY MEET WITH JOMA! EXPOSED BY PBBM,Fake,TAGALOG,ENGLISH
vera files fact check: marcoleta’s odd solution to hunger among filipinos based on inaccurate info,"“Ano po ba ‘yung mga kinakain ng mga astronauts sent to the orbit? Kasi po kaya ko tinatanong ‘yon, they are in orbit, they spend days, even months, without cooking their food kasi po hindi naman sila pwedeng magluto doon sa kanilang spaceship. Tama po ba?”

Source: Commission on Appointments Official Youtube Channel, CA COMMITTEE MEETINGS ON DOE, DOST, DOTR, DFA, CAUCUS & PLENARY SESSION , Dec. 7, 2022, watch from 2:33:08 to 2:33:35","What do astronauts eat when they are sent to the [Earth’s] orbit? I asked this because when they are in orbit, they spend days, even months, without cooking their food because they can’t cook in their spaceships. Is this correct?",Fake,TAGALOG,ENGLISH
vera files fact check: writer krizetta chu’s comment on fbi’s jurisdiction over quiboloy needs context,"“Akala ko talaga magaling ang FBI. | Pero di nila kaya hanapin yung Wanted nila na si Pastor Apollo Quiboloy.”


Source: Krizette Laureta-Chu’s official Facebook page, Akala ko talaga magaling ang FBI… , Dec. 11, 2022",I really thought the FBI was good. But they cannot find their wanted person Pastor Apollo Quiboloy.,Fake,TAGALOG,ENGLISH
vera files fact check: bsp governor medalla’s joint statement with economic managers supporting maharlika investment fund bill needs context,,"“We, the Economic Managers of the Marcos Jr. Administration, strongly support the creation of the Maharlika Wealth Fund as a vehicle to move forward the Agenda for Prosperity and achieve the economic goals of the administration.
The establishment of a Sovereign Wealth Fund is a tried and tested investment vehicle that has been used by governments in both first world and developing countries to achieve their economic objectives.”
Source: Department of Budget and Management official website, Statement of Economic Managers on the Creation of the Maharlika Wealth Fund, Dec. 9, 2022",Fake,None,ENGLISH
vera files fact check: netizens revive false post about vetsin-filled vitamin c capsules,"“MAY KUMAKALAT NGAYON NA NAMIMIGAY DAW NG VITAMINS PERO ANG LAMAN NG VITAMINS AY VETSIN.. TANDAAN NYO PO KUNG MAY MAMIMIGAY NG VITAMINS  MAS MABUTING SURIIN MUNA BAGO ITO INUMIN”
","Rumors are spreading that vitamins being given away actually contain vetsin. If someone gives you vitamins, remember to check before consuming it.",Fake,TAGALOG,ENGLISH
"vera files fact check: fb pages, netizen misleadingly claim 2016 wealth fund bill similar to maharlika fund","“’Yung galit na galit ang mga #Dilawan at anti-gov leftists activists terrorists sa panukalang-batas na Maharlika Wealth Fund. Pero ang hindi nila alam eh mungkahi pa ‘yan nila panahon pa ni PGMA hanggang sa termino ni PRRD. Hindi nga lang naisabatas pa.
",#Dilawans and anti-gov leftists are mad at the Maharlika Wealth Fund bill. But what they don’t know is that this has been proposed from the time of [former President Gloria Arroyo] to [former President Rodrigo Duterte]. It was just not enacted.,Fake,TAGALOG,ENGLISH
vera files fact check: marcos did not order remulla to step down,“KAKAPASOK LANG  PRES MARCOS GOODJOB! DOJ REMULLA PlNABABA SA PWESTO GENERAL BANTAG HUMARAP NA .”,JUST IN,Fake,TAGALOG,ENGLISH
vera files fact check: marcos remains acting agriculture secretary and has yet to appoint a replacement,“KAPAPASOK LANG! PRES MARCOS nag DISISYON na MAR ROXAS NATUWA BAGONG DEP AGRICULTURE PINANGALANAN na .”,JUST IN! PRES MARCOS already made a DECISION MAR ROXAS DELIGHTED NEW DEP AGRICULTURE ALREADY NAMED,Real,TAGALOG,ENGLISH
"vera files fact check: arroyo, marcos claim that bam aquino proposed ‘same’ sovereign wealth fund bill needs context",,"“Sovereign Wealth Funds are not new. Singapore, for example, has had Temasek Holdings since 1974 and the Government of Singapore Investment Corporation since 1981. There are more than 20 sovereign wealth funds in the Middle East. Even in the Philippines, the idea is not new – then Senator Paolo Benigno “Bam” Aquino filed a bill to create such a fund in 2016.”
Source: ABS-CBN Political Correspondent RG Cruz Twitter Account, Former President/Senior Deputy Speaker…, Dec. 5, 2022; Rappler, Former president and House Senior Deputy Speaker Gloria Macapagal Arroyo defends…, Dec. 5, 2022; Philippine News Agency, READ | Statement of Senior Deputy Speaker Gloria Macapagal-Arroyo on the Maharlika Fund, Dec. 5, 2022",Fake,None,ENGLISH
vera files fact check: fake robredo quote card on election results circulates anew,“Kaya siya nanalo kasi natalo ako . .”,He won because I lost,Fake,TAGALOG,ENGLISH
vera files fact check: bato dela rosa’s shifting stance on ‘punishment’ for drug users,"“While we want to punish the offenders we are also after their rehabilitation and reformation, na pwede pa silang magbagong buhay. Nakikita natin na sa tagal ko sa PNP, lahat ng kulungan na napuntahan ko, times 1000% ‘yung kanilang occupancy rate. Sobrang punong-puno, hindi na makatulog.

Source: Official Youtube Channel, Dobol B TV Livestream: November 25, 2022 – Replay, Nov. 25, 2022, watch from 3:16:52 to 3:17:14","While we want to punish the offenders, we are also after their rehabilitation and reformation so they can turn their lives around. I’ve seen that in the long time I was with the PNP, in all the jails I’ve seen, their occupancy rate is times 1000%. It’s really congested, you can’t even sleep.",Real,TAGALOG,ENGLISH
vera files fact check: marcos jr.’s claim that rice now at p25 per kilo statement needs context,"“Bukod pa roon ay palapit na nang palapit tayo sa presyo na aking pinapangarap para sa bigas, especially dahil naibibili na natin ng 25 pesos… ubos kaagad iyan. Siguradong ‘yan ang unang nauubos, eh. Kaya’t gagawin natin itong national program na, hindi lamang sa mga LGU.”
 a national program, not just for the LGUs.)
Source: RTVMalacañang official Facebook page, Kadiwa ng Pasko Caravan in Quezon City, Dec. 1, 2022, watch from 29:02 – 29:31","Aside from this, we’re getting closer to the price I dreamed of for rice, especially since we can now buy this for 25 pesos…. that will be sold quickly. I’m sure it will be the first to be sold out. This is why we must make this (Kadiwa ng Pasko Caravan",Fake,TAGALOG,ENGLISH
vera files fact check: city of pearl not under duterte or marcos infra projects,,"“City of Pearl ang isa sa mga proyekto sa ilalim ng Build Build Build ni PRRD na itutuloy sa ilalim ng Build Better More ni PBBM (City of Pearl is one of the projects under [former president Rodrigo Duterte’s] Build Build Build, which will be continued under the Build Better More of [Marcos].”",Fake,None,TAGALOG
vera files fact check: zubiri inaccurately claims that confidential funds can be used for repair of classrooms,"“Wouldn’t it be easier kung may confidential funds ka na ibibigay sa mga eskwelahan na nangangailangan ng bubong? May pondo ka na, eh.  You have to remember na kung maglalagay ka ng eskwelahan sa isang lugar, naka-earmark na ‘yan. Kung walang bagyo dun, paano iyong karatig na bayan na natamaan ng bagyo o natamaan ng flash flood at sila ang nangangailangan?”

Source: Senate of the Philippines, Transcription of Senate President Juan Miguel “Migz” Zubiri’s Press Conference, Nov. 7, 2022","Wouldn’t it be easier if you have confidential funds for schools that need a roof? You already have funds. You have to remember that when you build a school in one place, that’s already earmarked. If there’s no typhoon there, how about the neighboring town hit by a typhoon or flash floods that needs funds?",Fake,TAGALOG,ENGLISH
vera files fact check: tagle not ‘kicked out’ of vatican office for ‘misappropriating money’,“KAHAY0PAN NG D1LAWANG CARDINAL NADlSKUBRE | TAGLE KlNARMA SA PAGWALDAS NG PERA SINIPA NG SANTO PAPA !”,DEBAUCHERY OF YELLOW CARDINAL DISCOVERED | TAGLE GOT KARMA FOR WASTING MONEY KICKED OUT BY THE POPE,Fake,TAGALOG,ENGLISH
vera files fact check: photo of susan roces’ wake passed off as kris aquino’s ‘hidden wake’ in another hoax,"“GRABE! UNANG GABI NG LAMAY SA BUROL NI KRIS AQUINO DINAGSA NG MGA TAO, KAIBIGAN AT KAMAG-ANAK .”","SEVERE! FIRST NIGHT OF KRIS AQUINO’S WAKE FLOCKED BY PEOPLE, FRIENDS AND RELATIVES",Fake,TAGALOG,ENGLISH
vera files fact check: kris aquino is not dead,“BREAKING NEWS! BANGKAY NI KRIS AQUINO PABALIK NA SA BANSA | Kris Aquino Pumanaw Na !”,Kris Aquino’s corpse headed back to the country | Kris Aquino has passed away,Fake,TAGALOG,ENGLISH
vera files fact check: posts on bucor chief’s statement on allowing pdls to use gadgets need context,“Pwedi  na gumamit ng cellphone tablet at computer sa BUCOR .”,sic,Real,TAGALOG,ENGLISH
vera files fact check: marcos did not order the junking of subpoena issued to bantag,“KAKAPASOK LANG BAGONG UTOS PRES MARCOS SUBPOENA BlNASURA GENERAL BANTAG SOJ REMULLA CATAPANG NANLUMO ”,JUST IN NEW ORDER PRES MARCOS SUBPOENA JUNKED GENERAL BANTAG SOJ REMULLA CATAPANG DISHEARTENED,Fake,TAGALOG,TAGALOG
vera files fact check: circulating graphic of kiko-risa tandem for the 2028 elections not official,"“KIKO/RISA TANDEM KASADO na sa 2028/LENI ROBREDO NILAGLAG!KIKO NATALO daw SIYA DAHIL sa FAKE NEWS!”
",KIKO/RISA TANDEM NOW FINAL FOR 2028/LENI ROBREDO DROPPED! KIKO SAID HE allegedly LOST BECAUSE of FAKE NEWS,Fake,TAGALOG,ENGLISH
vera files fact check: false posts listing down beneficiaries of marcos admin’s housing program spread anew,"“PBBM Pambansang Pabahay Para sa Pilipino Program. 6 Million Pabahay ang itatayo ni PBBM, at nag uumpisa na kaming mag lista ng mga makakasama..SA MGA GUSTO MAG PALISTA ONLINE REGISTRATION MAG PALISTA DITO.”
","6 Million housing units will be built by PBBM, and we already started listing down those who will be included. TO THOSE WHO WANT TO BE LISTED UNDER ONLINE REGISTRATION REGISTER HERE",Fake,TAGALOG,ENGLISH
vera files fact check: robredo not kicked out from harvard,"“LENI EVICTED SA HARVARD? PBBM IMBITADO SA WORLD ECONOMIC FORUM KAHIT DI EKONOMISTA! LENI NAGWALA?”

",Leni evicted from Harvard? PBBM was invited to the World Economic Forum despite not being an economist! Leni outraged?,Fake,TAGALOG,ENGLISH
vera files fact check: sara duterte did not reinstate bantag as bucor chief,“KAKAPASOK LANG SA WAKAS! VPSARA UMAKSYON NA! GENERAL BANTAG BALIK BUCOR! CATAPANG UMAMIN NA REMULLA .”,JUST IN FINALLY! VPSARA TOOK ACTION! GENERAL BANTAG BACK TO BUCOR! CATAPANG ALREADY CONFESSED REMULLA,Fake,TAGALOG,ENGLISH
vera files fact check: zubiri falsely claims no drug-related killings under marcos admin,,"“When we went to [the] EU [European Union], they discussed a bit of human rights but we told them, it is the new administration, there’s a new policy. The president said maximum tolerance when it comes to human rights …”
Source: Senate of the Philippines, Senate President Juan Miguel “Migz” Zubiri’s Press Conference , Nov. 7, 2022, watch 00:16 to 00:26",Fake,ENGLISH,ENGLISH
"vera files fact check: marcos repeats claim on having the highest number of votes, needs context","“Pagkakataon na namin ito na magpasalamat ulit sa inyong lahat sa suportang ibinigay ninyo at hindi pangkaraniwan na suporta. Ito ang pinakamalaking boto na nakuha ng kahit sinong kandidato sa buong kasaysayan ng Pilipinas.”

Source: Radio Television Malacañang – RTVM, Meeting with the Filipino Community, Nov. 13, 2022, watch from 56:48 to 56:55","This is our chance to thank you all for the support you have given, and it’s not ordinary support. This is the biggest vote garnered by any candidate in Philippine history.",Fake,TAGALOG,ENGLISH
"vera files fact check: zubiri falsely claims ph has ‘very free media’ compared to malaysia, singapore","“We have a free media. You are [sic] guys are all free. [Nami-]misquote nga ako minsan, eh. Naiinis nga ako sa inyo minsan. You take my quote out of context kaya pinapa-record ko na, eh. Alam mo, we have a very free media as compared to Singapore, as compared to Malaysia, as compared to Vietnam.”

Source: Senate of the Philippines, Transcription of Senate President Juan Miguel “Migz” Zubiri’s Press Conference, Nov. 7, 2022","We have a free media. You are [sic] guys are all free. I’m even misquoted sometimes. I’m upset with you sometimes. You take my quote out of context. That’s why I’ve asked for everything to be recorded. You know, we have a very free media as compared to Singapore, as compared to Malaysia, as compared to Vietnam.",Fake,TAGALOG,ENGLISH
vera files fact check: posts claiming ‘itaewon-like’ crowd crush at moa fake,,“Tragedy of stampede in Korea was repeated in the Pilipinas . It is now estimated that 28 people have been injured and fainted…Rescue crews received at least 61 calls from residents in Pasay City saying they were having trouble breathing.”,Fake,ENGLISH,TAGALOG
vera files fact check: bantag not flagged at airport,"“Grabe Malaking gulo ito! General Bantag hinarang sa airport at pinapaamin na! Dating Pangulong Rodrigo Duterte nagulat sa itinuturo na isa pang MASTERMIND!”
","Wow, this is a big mess! General Bantag blocked at an airport and asked to confess now! Former President Rodrigo Duterte shocked over the other tagged mastermind!",Fake,TAGALOG,ENGLISH
vera files fact check: fake liza ong facebook page posts ad for slimming powder,"“Ang lotus root powder ay… may epekto ng pagpigil sa labis na timbang, labis na katabaan, pagtatae, mga digestive disorder na dulot ng bakterya, pagbabawas ng kolesterol sa dugo.”
","Lotus root powder has… an effect in stopping excess weight, excess fat, diarrhea, digestive orders caused by bacteria, [and] reducing blood cholesterol.",Fake,TAGALOG,ENGLISH
vera files fact check: arrival of philippines’ first nuclear submarine not true,“Ang Unang Nuclear ng Pilipinas Dumating Na! Sandatahang Lakas ng Pilipinas Papantay na sa China  of the Philippines has arrived! The Philippines’ Armed Forces will now be on par with China).”,The first nuclear (submarine,Fake,TAGALOG,ENGLISH
vera files fact check: gerald bantag not back as bucor chief,“YARE! GENERAL BANTAG BABALIK NA! SA WAKAS BISTADO NA! GEN. CATAPANG WILLING MAG PARAYA SA PWESTO !”,"Dead! General Bantag returns! At last, caught! Gen. [Gregorio] Catapang willing to step down from seat",Fake,TAGALOG,ENGLISH
vera files fact check: the ‘marcos gold’ was not discussed in marcos-biden meeting,"“MARCOS WEALTH ANG KATOTOHANAN! utang ng AMERICA sa ginto ni MARCOS MABABAYARAN NA? ,  was posted on Sept. 23 by YouTube channel Foodie Neth  and reposted by FB page ADF 2.0 .",Marcos wealth: the truth! America’s debt on Marcos gold to be paid?,Fake,TAGALOG,ENGLISH
vera files fact check: resigned executive secretary rodriguez retracts statement on cabinet post,,"“I confirm that I have completely exited the administration of President Bongbong Marcos, after having spoken to him at length about my wish to spend most of my time with my family … a very personal decision that was happily made.”
Source: Atty. Vic Rodriguez’s Facebook account, I confirm that I have…, Oct. 5, 2022",Real,None,ENGLISH
vera files fact check: government housing program not funded by ‘marcos wealth’,“Goodnews! Marcos Wealth ipopondo na para sa sambayanang Pilipino! 6M units pabahay ni PBBM nag-umpisa na !”,Marcos Wealth will be used for the Filipino people! 6M housing units program of PBBM has started,Fake,TAGALOG,ENGLISH
"vera files fact check: teddy casiño, renato reyes not arrested by police","“KAKAPASOK LANG! PRES BONGBONG UMAKSYON AGAD! TEDDY CASINO ARESTADO! RENATO REYES DINAMPOT! PNP AYOS
!”","Just in! Bongbong Marcos took action! Teddy Casiño arrested! Renato Reyes picked up! Nice, PNP",Fake,TAGALOG,TAGALOG
vera files fact check: robredo did not say ‘sunshine after rain is climate change’,"“Pag ang ulan tumila tapos biglang umaraw climate change na iyun. Iyun na ang climate change. Kaya huwag natin gawing biro kung di naman tayo seryoso.”
","When the rain stops pouring then the sun suddenly shines, that’s climate change. That is climate change. So let’s not make fun of it when we are not serious.",Fake,TAGALOG,ENGLISH
vera files fact check: dela rosa makes baseless claim that ‘no crimes against humanity’ occurred in the philippine drug war,"“Kung tanungin mo naman ang Pilipino, wala namang nangyayaring crimes against humanity dito sa ating bansa . For all we know, the Filipino should know it more than Mr. Khan …”
Source: CNN Philippines, ICC prosecutor, binatikos ukol sa pagbukas ng drug war probe | News Night, Sept. 28, 2022, watch from 06:37 to 06:48","If you ask Filipinos, there are no crimes against humanity happening in our country",Real,TAGALOG,ENGLISH
vera files fact check: press secretary misleads with statement that inflation is ‘not due to any local factors’,,"“[T]he president is in constant touch with the economic team and they are closely monitoring this. As you know naman, the inflation rate isn’t due to any local factors; it’s really about the exchange rate.”
Source: RTVMalacañang, Press Briefing of Press Secretary Trixie Cruz-Angeles 9/27/2022, Sept. 27, 2022, watch from 6:32 to 6:53",Fake,None,ENGLISH
vera files fact check: ntf-elcac official’s claim that international community made ‘a strong statement’ and ‘position’ on cpp-npa needs context,,"“Even the international community made a strong stance against the Communist Party of the Philippines as a foreign terrorist organization. That’s the funny part. We are here in the Philippines is telling  that the CPP-NPA is not a terrorist organization while, in fact, the other organization, the international community, has already made a strong statement, and even position, that they are  a terrorist group.”
Source: ANC 24/7 Official Youtube Channel, NTF-ELCAC reacts as court junks case vs CPP-NPA | ANC, Sept. 22, 2022, watch from 1:05 to 1:43",Fake,ENGLISH,ENGLISH
vera files fact check: marcos’ claim that ph ‘remains on track’ to reach upper middle-income status by 2023 needs context,,"“Despite the challenges of the pandemic and the global economic upheavals, we remain on track to reach upper middle-income status by next year. With steady investments in food, public health, education, and other social services, we expect to become a moderately prosperous country by 2040. I am confident that we will achieve this vision.”
Source: RTVMalacañang, Statement at the 77th Session of the UNGA General Debate  9/20/2022, Sept. 21, 2022",Fake,ENGLISH,ENGLISH
vera files fact check: press secretary falsely claims biden ‘spoke only’ with marcos jr. among world leaders on the sidelines of unga,,“I understand a lot of requests have been made to the U.S. president. That is significant that he spoke only with President Marcos on the sidelines of the U.N. General Assembly.”,Fake,None,ENGLISH
vera files fact check: interior secretary’s claim that police officers are ‘mandated by law’ to wear body cameras needs context,"“It’s mandated by law. Kailangan talaga ng body cam[era].”
",It’s mandated by law. Body cam[era] is really required.,Fake,TAGALOG,ENGLISH
vera files fact check: graphic showing kabataan party-list rep. manuel’s support for rotc is fake,"“Kumbinsido kami na majority ng mga Pilipino ay suportado ang pagbabalik ng mandatory ROTC. Kapag tinanong ang mga Pilipino kung suportado nila ang isang programa na magsusulong ng nasyunalismo, disiplina at kahandaan sa sakuna, sino ang aayaw? Gusto ng mga kababayan natin ang mga iyan lalo na ang ROTC. Magkaisa tayong suportahan ito.”
","We are convinced that the majority of Filipinos support the return of mandatory ROTC. If you ask Filipinos if they support a program that supports nationalism, discipline, and disaster preparedness, who will say no? Our fellow citizens would like that, especially ROTC. Let’s help each other and support it.",Fake,TAGALOG,ENGLISH
vera files fact check: ‘new p10k ayuda on gcash’ from cayetano fake,"“Bagong bago!!!, Simulan nyo na habang konti palang,  nakaka alam P10,000 Ayuda on GCash, PM me for details, and free giveaway for everyone PM me how.,  While others are complaining, remember opportunity comes but once so be the one to tell others about it. Start it while only few know it.,  PM me po Legit.”
 PM me Legit.)",,Fake,ENGLISH,ENGLISH
vera files fact check:  fil-am philanthropist not behind leni robredo’s harvard fellowship,,"“Ay, na-post! Thank you, Manay Loida Nicolas Lewis for the invite for #LenLen in Harvard! See the connection?” ‘It doesn’t have to be true. It just need  to look like it.’ #AlamNaThis #KayaPala #Budol #Scam #PangUuto #Panlilinlang #Panloloko #Pambubudol.”
 to look like it.’ #NowWeKnow #That’sWhy #Swindle #Scam #Misleading #Deceiving #Fraud.)",Fake,ENGLISH,ENGLISH
"vera files fact check: smni tweet on calls for marcos resignation, #letsaralead fake",,"“LOOK: The hashtag #LetSaraLead has topped Philippine Twitter trends as of 11PM on Monday after former BBM supporters called for Pres. Bongbong Marcos Jr. to resign over ‘broken promises.’
‘Magparty ka na lang’ and #BBMResign are also among the trending topics.”",Fake,None,ENGLISH
vera files fact check: afp is not court-martialing legarda,"“Nais din ng Armed Forces of the Philippines na tanggalin si Legarda at patawan ng karampatang parusa bilang isang reserve officer dahil sa malaking violation nito sa batas at maaaring isailalim pa ito sa court martial.”
","The AFP wants to remove Legarda and mete out the punishment for her as a reserve officer for severely violating the law, and she might even undergo court martial.",Fake,TAGALOG,ENGLISH
"vera files fact check: take 2 for ‘aircon sale’ scam with altered image, bogus links",,"“Shocking information!! Dozens of ambulances from the Philippine General Hospital in the capital Manila were present at the Mall of Asia Arena to treat hundreds of people who had to faint because of waiting in line for 3 days here, leading to lack of oxygen.”",Real,None,ENGLISH
vera files fact check: legarda statements on cpp twisted to mislead,"“Hindi kalaban ng pamahalaan ang Communist Party of the Philippines .  Ginagalang ko ang mga taga-CPP dahil sa magandang pananaw nito para sa bayan kahit na hindi ito nakalinya sa adhikain ng karamihan. Hindi dapat tawaging kalaban ang CPP.”
",CPP,Real,TAGALOG,ENGLISH
vera files fact check: mary jane veloso’s father falsely claims that previous presidents ‘did nothing’ to help her,"“Talagang pinaglalaban po namin ‘yan. Sana huwag naman niya po pababayaan dahil pangatlong presidente na po siya;  ang dalawa walang nagawa. Ang pag-asa na lang namin, siya.”

Source: ABS-CBN News, Mary Jane Veloso’s father recounts family’s struggle due to her imprisonment, Sept. 4, 2022",We are really fighting for that. We hope he doesn’t abandon the case because he is the third president; the previous two were unable to do anything. He’s our only hope now.,Fake,TAGALOG,ENGLISH
vera files fact check: bani police station infographic wrongly claims that cursing is ‘prohibited’ by law,"“May kilala ka bang mahilig magmura? Alam mo bang ipinagbabawal na ito ayon sa Bawal Bastos Law o Safe Spaces Act? Parusa: makukulong ng 30 araw at magkakamulta hanggang P10,000.”

Source: Malabon Times, MALABON: Mahilig ka bang…,  Aug. 22, 2022; Rommel Lopez Twitter Account, Meron po kaming kilala… , Aug. 24, 2022","Do you know someone who likes cursing? Do you know that this is prohibited under the Bawal Bastos Law or Safe Spaces Act? Penalty: imprisonment of 30 days or up to  P10,000 fine.",Real,TAGALOG,ENGLISH
"vera files fact check: pao forensics chief spews false, misleading claims about 2014 dengvaxia study results","“Clinical trial po ito. More than 10,000 pong mga kabataan ang sinaksakan dito. Napakababa po ng efficacy, 56% lang. At six out of 10 na sasaksakan mo ng Dengvaxia ay magsa-suffer ng severe adverse effects, anim out of 10.”

Source: TeleRadyo, PAO binatikos ang panawagang gamitin ulit ang Dengvaxia sa kabila ng rising dengue cases, watch from 5:06 – 5:28","This was a clinical trial. More than 10,000 children were vaccinated. The efficacy was very low, just 56%. Six out of 10 who were vaccinated with Dengvaxia will suffer severe adverse effects, six out of 10.",Fake,TAGALOG,ENGLISH
vera files fact check: queue in japan misleadingly used to show commuters in s. korea,"RUSH HOURS COMMUTERS IN PHILIPPINES, SOUTH KOREA AND JAPAN. Meanwhile in the Philippines, ayaw ng mahabang pila. Kawawa daw sabi ng mga alagad ni Santa Leni. ","Rush hours commuters in Philippines, South Korea and Japan. Meanwhile in the Philippines, people don’t like long lines. Followers of Saint Leni say they are pitiful.",Fake,TAGALOG,ENGLISH
vera files fact check: press secretary’s remark that monkeypox ‘is not particularly fatal’ needs context,,"“First of all, it’s only one case. Number two, as you can see, it doesn’t affect the entire population. Number three, this is not like COVID[-19] that can be spread by air very easily and could possibly be fatal. This is not particularly fatal but it is of concern.”
Source: RTVMalacańang, Press Briefing of Press Secretary Trixie Cruz-Angeles, July 29, 2022, watch from 11:49 – 12:10 ",Fake,ENGLISH,ENGLISH
vera files fact check: the icc has jurisdiction to investigate in ph,,"“While the Philippines’ withdrawal from the Statute took effect on 17 March 2019, the Court retains jurisdiction with respect to alleged crimes that occurred on the territory of the Philippines while it was a State Party, from 1 November 2011 up to and including 16 March 2019.”",Real,None,ENGLISH
vera files fact check: dela rosa falsely claims duterte never ordered to kill anyone involved in drugs,"“Sabihin ko nakikinig naman lahat pati  human rights: if you go into drugs, you will destroy my country. And if you destroy my country, I will kill you. Iyon ang pinakaano ko — lalo na drugs.”
Source: Presidential Communications Operations Office, 43rd Commencement Exercises of the PNPA for BSPS ‘Alab-Kalis’ Class of 2022  4/21/2022, April 22, 2022, watch from 44:17 to 44:33","I’m going to say it, everyone’s listening anyway, including [those concerned about]",Fake,TAGALOG,ENGLISH
